pubkey,ip,capacity,partner number,channel number
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,167.99.50.31:9735,1.46055170,409,437
02a456b816697c6b8407ee2176475d74b790a96143bc30e896e8bf7a8852a8b637,206.189.124.227:9735,0.31811216,250,251
020fccc5602053c438b13ebee7aa31a25e9c3803baace5afcecedff8db70543747,35.185.42.237:9735,0.08051018,212,212
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,None,1.01105758,208,208
0274ce2cee1266882c266940abd10d1a8c5285c68fd984e468e325884b9b5e526c,35.196.41.61:9735,0.07410718,207,207
03dbe3fedd4f6e7f7020c69e6d01453d5a69f9faa1382901cf3028f1e997ef2814,35.196.214.59:9735,0.03717524,196,196
02dcdd7e18b80dc7fd51af34e871901c13f574e4b82325dc74c0beeada5771e8e9,138.68.14.201:9735,0.05265281,190,190
03ce15213fc42f04132edc0acb73d5830371970bebd7e25ba4a3ca2552d1ae6fdf,35.229.80.23:9735,0.07264528,169,169
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,52.16.240.222:9735,2.66538735,169,184
02d246c519845e7b23b02684d64ca23b750958e0307f9519849ee2535e3637999a,35.231.42.123:9735,0.19544254,163,163
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,34.236.113.58:9735,0.33780336,162,162
025e77156e4c5e1ed62f9ad113ac2115a981ee99fa05d95be9e43add7f785a9b4d,148.251.82.174:9745,0.48964449,147,154
034a5fdb2df3ce1bfd2c2aca205ce9cfeef1a5f4af21b0b5e81c453080c30d7683,24.86.243.10:9735,0.00162000,131,131
024bd94f0425590434538fd21d4e58982f7e9cfd8f339205a73deb9c0e0341f5bd,165.227.69.151:9735,0.02895864,128,128
028c1f8d907879ee8691ddab3547e93c5ec2098cc0f38cc39c4ee989cb3a10ae71,151.80.42.213:9735,0.72057934,118,122
036487e0bd981617c674c2856fc0050472a0182838e0a4a1a67545c6cdee9f49a0,81.6.40.158:9735,0.05284994,117,117
027ccec61f4bf1fafb5156931da6527dc104ec3613dd4f4050161d89dd76ab494c,None,0.03018227,111,111
0399cd9a37f87b2ac5b8f336e46490d32ba85bc763c09e3ab07429596292a3a1e8,35.204.10.150:9735,0.05359500,108,108
022bd091df93de9ccb69891bfe5a4cdf91541ba045aa73eb05f4f66478184bbe89,47.188.139.254:9735,0.35889562,103,108
039bcf7778ad7b14cf5974cd2705b06a58a8bbf564ca1df4791100f81104716624,136.24.181.52:9735,0.48703210,101,102
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,35.184.46.254:9735,1.38526237,97,99
03557fd11b58cb93d2ad4fab4dd4cff7462a97e21e8f6b7a712cb8bd27a96b9eef,188.166.23.129:9735,0.44704536,93,93
021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b,47.184.129.94:9735,0.27555262,92,92
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,5.189.141.242:9735,0.06029060,87,99
020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,173.249.28.20:9735,0.03551350,85,85
026cf17908fe386c5fbab61e0470197bc9bb04a39c57608e7140fef3076be7044f,89.179.125.124:9735,0.66926770,84,85
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,35.172.33.197:9735,1.44677568,82,102
03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,167.99.180.92:9735,0.16892992,81,81
038a834010a354a4f8ec8438bd50b712e13606fccffb9280af8125e2c9e039ffe7,104.196.111.128:9735,0.06558462,77,77
03cbf298b068300be33f06c947b9d3f00a0f0e8089da3233f5db37e81d3a596fe1,45.55.47.17:9735,0.08153406,77,79
03a9d79bcfab7feb0f24c3cd61a57f0f00de2225b6d31bce0bc4564efa3b1b5aaf,13.92.254.226:9735,0.36830516,74,78
0331a2398d2787f39af6d958994dd4edc3e809f567b717377863d4a23a62bfd8e3,35.227.34.94:9735,0.00180994,69,69
024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,136.59.96.197:9735,0.58273103,69,69
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,34.239.230.56:9735,1.19719717,68,83
03c7cad7e4ecfc741909b910d59b31b631e36afffc58e87389172c80702fddcbfa,35.188.61.90:9735,0.20368509,68,68
027fe40fda644dbbce9b51fc7cff5809586d02bfc7c308d54a80002989c14f40de,173.249.28.20:9735,0.00875747,66,66
038d108e6cd9b8e84fa0b89d018c2e254324d3674b2bb3db12b35841889bfe372a,104.196.28.95:9735,0.03518555,64,64
031656e93300e7d51f9dcb2780d63b44cb96c5d6af2cec2196de450ad0688fcb80,35.229.42.72:9735,0.02831310,63,63
022d73890548be3625f822f0294d1c30934c6063df8904bafc70224920e14f10e7,35.229.30.22:9735,0.01556044,62,62
038fe3c921a6bc389d28fc6a47e131b07adfb36450bfc1553d6445b182eb84c9bd,35.229.61.93:9735,0.00419322,62,62
0397b318c5e0d09b16e6229ec50744c8a7a8452b2d7c6d9855c826ff14b8fa8b27,None,0.12860269,61,61
0347ffcb271ef54fa6103fc6392370ce398d1bc98460829f7046cf64026253a68e,173.249.19.207:9735,0.02689875,61,61
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,78.42.161.43:9735,1.48361293,58,59
02df803ba0b435b912556c83c97fc5d3aba191f114b2c468c3062ae18c902ebdfc,35.185.14.156:9735,0.03600152,57,57
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,98.186.249.155:9735,0.05894234,54,54
03d301eedc0949238bf919452ee7ef5c45bda4adbe17faba4037170b3573841446,108.80.63.17:9735,0.77092775,53,53
035f1498c929d4cefba4701ae36a554691f526ff60b1766badd5a49b3c8b68e1d8,78.63.23.25:9735,0.10092309,53,53
037ab299ae36082b2c439144400ff9be4b52c30df3ef90d6c54aaeb986ef40ce34,35.229.26.25:9735,0.00769722,52,52
02bfd4ec033e053a08c7b4cd3c7e0718f3929da9413ccc02dd2a06797a2b848653,35.190.207.186:9735,0.00456190,52,52
0291831e0f2e8d48b2b76fd0624845c4457ddd2bbef2a1379cbf3724aaff59ef4e,78.46.64.246:9735,0.23596990,50,53
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,153.126.136.98:9735,0.33615634,50,50
036d7730b1c5305724853b2a056331959a0a0f2b300f3f8555dc970330e4945a2b,None,0.15324632,49,49
036403186a467144ea6aaf4d6e42f7544e91a78e0f8ebd8e38bd2054b953d82e3f,178.238.227.220:9735,0.24977350,48,49
03086e43d54b3a901499b4fdd1d5740dad2197419058a1e604fd22b1203a7a4f9d,35.231.93.252:9735,0.01651991,46,46
023668a30d0a27304695df3fb1af55a4fb75153eac34840817cae0e6a57894fd51,34.205.225.56:9735,0.18470952,45,54
032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,37.221.209.222:9735,0.25302517,44,46
0371190acfb2e92bd1faa6ce4d12ff248798515a92ac903ac14d31b5172d9b2917,176.9.113.240:9735,0.03244763,44,44
03c3b2b20c2cd40c8bf9f4c3f2df1ead32a18e27e8b889d4aff82b9eafbe0b99ca,35.227.40.169:9735,0.00888896,42,42
024655b768ef40951b20053a5c4b951606d4d86085d51238f2c67c7dec29c792ca,88.98.213.235:9735,0.36765661,41,41
03473ec133c70c05db8d1abaa272449b0cfd3d38e1978bfe1e7765d1913b7e7c51,35.231.61.70:9735,0.00873570,41,41
033907be919e25a79ddd0fa0c050ceb24d9a05a8f492cc16c32fa08029833c9bdd,104.196.185.171:9735,0.04112580,41,41
0296f7a58d16bc6396e4ca5845b6bba892361a0fcfb2adfbbaa061a1d36271bb2d,35.196.96.34:9735,0.01800000,40,40
0318bde5ca7fe68a3581f8a5e735321c0e8c231f89db3ef0e71114f20381081a3b,35.185.31.243:9735,0.00918304,40,40
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,62.16.141.195:9735,0.20797218,39,44
031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca,89.163.224.187:9735,0.29116385,39,41
02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,197.155.6.118:9735,0.19243351,38,41
03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,18.195.40.124:9735,0.24952472,38,38
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,217.182.192.59:9735,0.86048151,37,38
02a13a67131bb41c8d6b858d8c2f37b597e07a2341b9e393ac1cd3f7e9cefc4760,35.184.13.251:9735,0.00696100,37,37
022c715b377856f5e176c52dfbe1f19b0283c4a85d563b1f09a9c7d9b6820ec375,52.198.143.134:9735,0.06239275,37,37
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,5.9.2.145:9735,0.55681856,36,38
02040d058e0504c7d4b1fe2fef510396f33bdabfe36450bbb6c7ea0d567d53a15f,35.204.14.87:9735,0.02600000,34,34
03f2e1a52f35cc0bd3cfda53864cd663b98345688458761cf039d57f22d1c4347c,37.187.3.112:9735,0.08303854,34,35
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,173.208.149.187:9735,0.36708538,34,35
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,52.224.178.244:9735,1.06298791,32,32
028b5bc17b23ab71f0726ff86b0fa44289d3ec0eedf352799da28471bb82aa07c9,104.196.5.186:9735,0.00722000,33,33
02e9fa6b495d07ce19796b06b5c0f51a401dbb48935c3aafe54067c89299add0ed,78.63.23.25:9735,0.08438298,33,33
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,54.37.22.216:9735,0.49418517,33,33
02c1471aba8e064a2965e4119d1c1f657152cf7d584c9b7ff11345b8f35616b6c2,163.172.45.43:9735,1.09463220,33,33
0304b2ba507036bc2d128f287a3f13c97d12d4e7ab076d889efd5120257efb0cf7,178.33.142.195:9735,0.01421250,33,33
03a9b9b4d5bff67fb90d7deaf7db842e3aa5e3abea58fa488a8af3d163679107d7,118.163.74.161:9735,0.06417339,33,33
03c409d19b1d3dbb2191e28ba150e89273675fcf2812b58ac3fd88bb98abed41f1,35.190.144.254:9735,0.01105155,32,32
029196b18f91a0d1ab53adfde49fa381b0e228f1b6fe7623ef2a1023b7ef2dcedc,35.196.44.113:9735,0.00460048,32,32
02d0f53a403a0b16efdec1983a082ab7645e35858f6a855871e489c9992748a059,85.214.234.164:9735,0.26460659,32,33
03df28dad342a508c38a8ddbb3341fa32a1f02387ea50bf85a1d92829d06e46529,84.216.51.36:9735,0.03679162,31,31
0393b7f4ce23f9991059c7e6a87d9d3d5260c6d0561cbaf2d98e67a9919b213566,172.111.255.68:9735,0.00000000,31,45
03a2497c7ae09be9db479f04ad0a769f246ebfbb2f21039f95f977968eff58ae9c,35.231.124.9:9735,0.02001913,31,31
03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49,24.4.228.213:29735,0.27616744,31,31
0247604546e9380d47b3de1420d18b6aa46ea6ed10b8ddf1d07dd8685d686a84df,75.159.6.167:9735,0.04474663,31,31
0383bcd5030220568a3fd44e08aabfbff877d27c04b949cc3e4aad4a6e0dfecbdb,88.99.104.135:9735,0.06400000,30,30
0229edafa4127e98e5b023a1920524f702ac183834b17fa69a04714c8c4401f181,35.196.110.204:9735,0.00552500,30,30
026726a4b043d413b45b334876d17b8a98848129604429ec65532ba286a42efeac,91.121.133.13:9735,0.07402701,30,31
031a714070931a35552bd42244d0f85b94b1b641416fc1da1399ce7b7b7f16c9e2,None,0.00632197,30,30
022b662aa03cf4db4820bcf4f47f1006d2bfae9bee416a926fb8bdba16e088d7f6,62.75.142.52:9735,0.00873917,30,30
02279affa59de742503180ee0745be70f827f923ddf85ac6f811e5f629f6966f34,35.190.164.132:9735,0.00878964,29,29
03b49e19c247d595d1642f334a2b985b16f777d9ea4503053c41994a8fc53cff54,35.196.126.227:9735,0.00652000,29,29
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,138.229.205.237:9735,0.24859611,29,29
03f8d1ae8e36d19ed96fefa02f6f6c33fe69ed2fff5ece582b013a92c9077ee396,159.89.127.22:9735,0.03492550,29,29
038b95886d1e9a93b66c7bf782fe279ef41b3b25d65cc9822d836309bfa641f144,35.196.225.211:9735,0.00917045,28,28
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,45.50.46.221:9735,0.21136946,28,28
03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944,173.212.220.9:9735,0.12434142,28,28
03f3726beac9e52435bae817b2d000f6faa39eca546654744daf2f5b952ef9481f,86.164.39.177:9735,0.00000000,27,38
023c5f2b69161742cc49da5be6cb7c940465fc608ff216bafc7573eb31121b22d2,85.148.41.19:9735,0.01627250,27,28
02fc7ef232bd958209a2180fb18844388babc48a81d31434e343ecc4d7dd1a9186,None,0.06230150,27,27
03801a6c917769f3fd1de41320001af957a448507b9aafc6d3599ef0ee0c03cd9f,78.128.177.38:9736,0.00000000,26,36
0261a9eac856f5a619a75fee39cd8c579bd5581ad1180c9a4c77c3236f38881a62,35.196.195.170:9735,0.01646500,26,26
02d249db09237f974f1c67775accee37a9d1eb3f04f236dda177f5a5c083094f15,81.32.233.138:9735,0.05001963,26,27
02d202d2d50a7da4730eb3d91c389906e5c4506dac78622d2714bc6daa7daa3700,None,0.03069150,26,26
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,35.204.214.101:9735,0.25974351,25,25
03b55872b522a5774ba5e2ba68e6e9b875a132661c16ed7e0e287a6fab347250a1,34.231.133.189:9735,0.00000000,25,30
03565878dfb4b7b7ee1cf5bd810d8f1d7bc0b85a1f483add581de1d6ec6a118530,52.18.61.50:9735,0.00000000,25,35
02cb99408e3b55fbfb335a47b8a2089f8882bf625750819b751fcf3fcf5b79fe98,82.119.233.36:9735,0.05885873,25,25
02d1856af0fc1eabd35b4033cffcf4adc201ec0c133b598bb8adb4806b2015468e,35.231.57.64:9735,0.01057545,25,25
03378bda17378f0a054c87bde20b24e73cff878556c9258e043d0fefc378a8c978,98.223.233.152:9735,0.05285690,25,26
03c80be3937717b502e66dc6cf8ba2881c9e68a8398bfa08c2866babfc88a729f3,109.121.223.245:9735,0.20248391,25,26
02a4452b0854f164196b924eb36fbb764a35ba2aa32bb7d7885376581be3b971d4,35.227.23.207:9735,0.01420000,25,25
02fb166480f1929c4f2d20ac40017c13ad5dffe36f915315f50b64a0a797078e65,35.227.86.243:9735,0.00722000,24,24
03321fab5e3db6c378e23e9cceb522325dc4f6b0c68819944569128d34cba9cca3,104.62.47.181:9735,0.04786549,24,24
03a5c54bbdff536184835273dddcf84c0b95b2b664acc1e096e4dfeb176b6782a9,35.196.74.1:9735,0.01498443,24,24
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,195.14.201.75:9735,0.05519743,24,25
03a3c1fc0a489e2872a2afe8fa16c2714b5fe80d52d8c1ce8ecc4361a77391da82,None,0.19274049,24,24
03dbd26bedb44490bfbf19c876f41c4561e3c650517a6c6ba77cb5e581b0b886b8,38.104.225.30:9735,0.01248171,24,24
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,52.15.79.245:9735,0.71095424,23,27
